1.398488891010999918e+09,4.068211139620146923e+02,4.147303999984188749e+02,3.731264427778008326e+02,3.757492306189309375e+02,3.387905903106924939e+02
1.398488892009999990e+09,3.937796045084284060e+02,3.907304000008053890e+02,3.635689207384714337e+02,3.653646151843727239e+02,1.946117621174157932e+02
1.398488893996999979e+09,3.709569629643435746e+02,3.787304000001796567e+02,3.603830800585339489e+02,3.584415382279131563e+02,6.755630157027705707e+01
1.398488896867000103e+09,3.628060195558830401e+02,3.787303999983606673e+02,3.603830800585339489e+02,3.532492305108963819e+02,8.672466887040799577e+01
1.398488897865999937e+09,3.693267742825526057e+02,3.907304000008053890e+02,3.635689207384714337e+02,3.584415382281754887e+02,1.510226898111711478e+02
1.398488898865999937e+09,3.921494158266374370e+02,4.027303999996121320e+02,3.763122834572553757e+02,3.688261536624713699e+02,1.756377178982443752e+02
1.398488899865999937e+09,4.149720573704752269e+02,4.147304000002378643e+02,3.858698054970676594e+02,3.844030768145710226e+02,2.210183608954660031e+02
1.398488901729000092e+09,4.133418686889313562e+02,3.907304000008053890e+02,3.731264427778008326e+02,3.826723075753905619e+02,2.209460421577942384e+02
1.398488903295000076e+09,3.725871516461344868e+02,3.907303999989863996e+02,3.540113986991419779e+02,3.515184612717159212e+02,2.506376065412709124e+02
1.398488904293999910e+09,3.515033780292603751e+02,3.907303999989863996e+02,3.508255580192045500e+02,3.411338458371577076e+02,3.620556108525410082e+02
1.398488906436000109e+09,3.579154535107572883e+02,3.787304000001796567e+02,3.603830800585339489e+02,3.480569227936173320e+02,1.228726444962291424e+02
1.398488908036000013e+09,3.823682837363859903e+02,3.907304000008053890e+02,3.699406020978633478e+02,3.705569229016518875e+02,7.521532690905360141e+01
1.398488909496000051e+09,4.166022460520190407e+02,4.267303999990446073e+02,3.763122834572553757e+02,3.826723075753905619e+02,4.625408252316151447e+02
1.398488911502000093e+09,3.970399818717631888e+02,3.907304000008053890e+02,3.667547614184088616e+02,3.688261536627337023e+02,1.757464639003559626e+02
1.398488912500999928e+09,3.709569629643435746e+02,3.787304000001796567e+02,3.571972393790794058e+02,3.549799997500768995e+02,9.610589624935101938e+01
1.398488913500000000e+09,3.563939440743861269e+02,3.787303999983606673e+02,3.508255580192045500e+02,3.411338458371577076e+02,1.905565725256647625e+02
1.398488914499000072e+09,3.628060195558830401e+02,3.667303999995539243e+02,3.540113986991419779e+02,3.480569227936173320e+02,5.351309384582224737e+01
1.398488917546999931e+09,3.986701705535541578e+02,3.907304000008053890e+02,3.731264427773178909e+02,3.774799998581114551e+02,1.043106995226480223e+02
