Date,Open,High,Low,Close,Adj Close,Volume
2015-10-26,39.200001,39.660000,38.840000,38.970001,38.970001,349500
2015-10-27,38.930000,38.930000,37.869999,37.970001,37.970001,716600
2015-10-28,38.730000,40.779999,37.509998,39.990002,39.990002,896500
2015-10-29,39.799999,40.930000,39.430000,40.880001,40.880001,480600
2015-10-30,40.959999,42.110001,40.400002,41.709999,41.709999,771900
2015-11-02,41.630001,42.220001,41.070000,42.040001,42.040001,400400
2015-11-03,41.930000,43.139999,41.650002,42.990002,42.990002,493100
2015-11-04,43.139999,44.000000,42.650002,43.900002,43.900002,820300
2015-11-05,43.849998,45.419998,43.759998,45.099998,45.099998,658300
2015-11-06,44.970001,45.349998,44.320000,45.310001,45.310001,495600
2015-11-09,45.110001,45.180000,44.400002,44.770000,44.770000,419000
2015-11-10,44.599998,45.360001,44.599998,45.299999,45.299999,332400
2015-11-11,45.320000,45.320000,44.650002,44.869999,44.869999,332500
2015-11-12,44.529999,44.980000,43.930000,44.299999,44.299999,359700
2015-11-13,44.020000,44.369999,43.419998,43.540001,43.540001,386300
2015-11-16,43.619999,44.450001,43.040001,44.139999,44.139999,353900
2015-11-17,43.869999,45.279999,43.810001,44.849998,44.849998,440700
2015-11-18,44.430000,45.779999,44.430000,45.709999,45.709999,311900
2015-11-19,45.259998,45.610001,44.520000,45.360001,45.360001,305700
2015-11-20,45.540001,46.209999,44.900002,45.930000,45.930000,366000
2015-11-23,45.990002,46.290001,45.830002,46.029999,46.029999,218200
2015-11-24,45.720001,46.150002,45.320000,45.799999,45.799999,347700
2015-11-25,45.869999,46.299999,45.790001,46.250000,46.250000,245800
2015-11-27,46.130001,46.630001,46.009998,46.400002,46.400002,363900
2015-11-30,46.250000,46.570000,45.840000,45.900002,45.900002,378800
2015-12-01,46.049999,46.529999,44.950001,45.020000,45.020000,421000
2015-12-02,45.279999,46.730000,44.880001,46.669998,46.669998,1087700
2015-12-03,46.720001,46.830002,45.330002,45.820000,45.820000,541400
2015-12-04,45.900002,46.259998,45.349998,46.049999,46.049999,345800
2015-12-07,46.139999,46.410000,45.689999,46.040001,46.040001,279600
2015-12-08,45.599998,46.009998,45.360001,45.730000,45.730000,317600
2015-12-09,45.540001,45.709999,44.599998,45.380001,45.380001,299500
2015-12-10,45.480000,45.599998,44.919998,45.049999,45.049999,231600
2015-12-11,44.380001,44.639999,43.720001,43.860001,43.860001,484000
2015-12-14,43.990002,44.209999,43.279999,43.480000,43.480000,307000
2015-12-15,43.660000,44.049999,43.430000,43.900002,43.900002,435900
2015-12-16,44.230000,45.250000,43.500000,45.200001,45.200001,375400
2015-12-17,45.549999,46.009998,45.130001,45.290001,45.290001,336100
2015-12-18,44.939999,45.500000,44.490002,44.650002,44.650002,712600
2015-12-21,44.820000,44.919998,44.060001,44.189999,44.189999,250400
2015-12-22,44.389999,45.040001,43.970001,44.980000,44.980000,178100
2015-12-23,45.169998,45.169998,44.500000,44.830002,44.830002,203600
2015-12-24,44.709999,45.020000,44.070000,44.549999,44.549999,95300
2015-12-28,44.290001,44.610001,44.180000,44.540001,44.540001,164600
2015-12-29,44.810001,45.959999,44.520000,45.209999,45.209999,229000
2015-12-30,45.270000,45.270000,44.770000,44.810001,44.810001,137500
2015-12-31,44.560001,45.360001,44.380001,44.560001,44.560001,297200
2016-01-04,43.799999,44.770000,43.000000,43.209999,43.209999,276500
2016-01-05,43.259998,43.330002,42.509998,42.700001,42.700001,288700
